,train-loss,train-acc,vali-loss,vali-acc,elapse-time
0,0.7910325854528145,0.5574,0.7097846113778408,0.6078,45.48163723945618
1,0.6871116801363523,0.5984,0.7130752377260744,0.634,
2,0.7879677344052518,0.6066,0.8422785327325459,0.4444,
3,0.7950318677992118,0.5123,0.6463135395174712,0.6797,
4,0.6894113660835829,0.6066,0.6125089144395068,0.7059,
5,0.707770755056475,0.5902,0.8680751175662271,0.549,
6,0.745092259567292,0.5861,0.5846548372623968,0.6863,
7,0.6623879409715777,0.6557,0.5689385708640603,0.7451,
8,0.6098670045860478,0.668,0.5519590354433247,0.7124,
9,0.600120833174127,0.6557,0.5614702202915366,0.6863,
10,0.5883570389180887,0.6639,0.5867191892044217,0.6732,
11,0.5971774932790975,0.709,0.6091242187163409,0.6732,
12,0.6094633482518743,0.6762,0.6536928927586749,0.6928,
13,0.5597990045293433,0.7131,0.5830559652615217,0.7059,
14,0.6011319182446746,0.6885,0.6180664203525369,0.6993,
15,0.5571305062927183,0.7131,0.5999157876750223,0.6863,
16,0.6234044422868823,0.6352,0.5856836395326004,0.6928,
17,0.5767844326672007,0.6926,0.5856318695872438,0.7059,
18,0.5995513293586794,0.6475,0.5732638602163277,0.6993,
19,0.575105031982797,0.7008,0.5805003456040925,0.6863,
20,0.6013294082196032,0.6762,0.5773809949556986,0.7124,
21,0.5631797504229624,0.7213,0.5922895463463528,0.6928,
22,0.5778483047348554,0.6803,0.5794377050368614,0.6928,
23,0.564749924862971,0.709,0.6351565457637014,0.6993,
24,0.6013692119082467,0.7008,0.5997496504409641,0.6863,
